Filters,Convolutional params,Convolutional time,Sequential params,Sequential time,Residual params,Residual time
1,10.0,0.00029015254974365236,22.0,0.0002840137481689453,22.0,0.0003505392074584961
3,84.0,0.0003181257247924805,174.0,0.0006184520721435547,174.0,0.0011502819061279296
5,230.0,0.0002878389358520508,470.0,0.0008401432037353515,470.0,0.0013673763275146484
7,448.0,0.00034341812133789065,910.0,0.0009183588027954102,910.0,0.0015117168426513673
9,738.0,0.00041359138488769533,1494.0,0.0011235609054565429,1494.0,0.0018527469635009767
11,1100.0,0.0004979991912841797,2222.0,0.0012524881362915039,2222.0,0.0017817411422729492
13,1534.0,0.0004793252944946289,3094.0,0.0014723663330078124,3094.0,0.001987392425537109
15,2040.0,0.0005575313568115235,4110.0,0.0014879922866821288,4110.0,0.0020513696670532225
17,2618.0,0.0026614656448364256,5270.0,0.0062004499435424805,5270.0,0.006660896301269531
19,3268.0,0.0037846212387084963,6574.0,0.009200535774230956,6574.0,0.009923908233642578
21,3990.0,0.003718099594116211,8022.0,0.008954276084899902,8022.0,0.009847308158874512
23,4784.0,0.0037373313903808596,9614.0,0.009094066619873047,9614.0,0.009951086044311523
25,5650.0,0.003703900337219238,11350.0,0.009256793022155761,11350.0,0.010055747032165527
27,6588.0,0.003711920738220215,13230.0,0.010101229667663573,13230.0,0.010443046569824218
29,7598.0,0.0037192039489746093,15254.0,0.009708177566528321,15254.0,0.010521639823913574
31,8680.0,0.0038217782974243166,17422.0,0.009887892723083496,17422.0,0.01056274127960205
33,9834.0,0.006576093673706054,19734.0,0.01566453742980957,19734.0,0.016787717819213867
35,11060.0,0.006536748886108399,22190.0,0.015816095352172852,22190.0,0.016921653747558593
37,12358.0,0.006766071319580078,24790.0,0.016313162803649903,24790.0,0.01728070831298828
39,13728.0,0.006613783836364746,27534.0,0.016176929473876955,27534.0,0.01722395992279053
41,15170.0,0.006813257217407226,30422.0,0.016697131156921386,30422.0,0.017929789543151855
43,16684.0,0.006849268913269043,33454.0,0.016638333320617676,33454.0,0.018089335441589357
45,18270.0,0.006948911666870118,36630.0,0.017306469917297364,36630.0,0.018912009239196777
47,19928.0,0.007052608489990234,39950.0,0.017525047302246095,39950.0,0.019022587776184083
49,21658.0,0.010721513748168945,43414.0,0.02493564987182617,43414.0,0.02624003314971924
51,23460.0,0.010860682487487793,47022.0,0.02506398105621338,47022.0,0.026477421760559082
53,25334.0,0.011047995567321778,50774.0,0.025319716453552247,50774.0,0.027210914611816406
55,27280.0,0.011035405158996581,54670.0,0.025544859886169433,54670.0,0.027170735359191893
57,29298.0,0.01236854076385498,58710.0,0.02893730354309082,58710.0,0.030696803092956543
59,31388.0,0.01210399341583252,62894.0,0.028449795722961427,62894.0,0.03075004768371582
61,33550.0,0.012080462455749511,67222.0,0.02908273220062256,67222.0,0.031080564498901366
63,35784.0,0.012435623168945312,71694.0,0.029877326965332032,71694.0,0.03221413516998291
65,38090.0,0.01719296741485596,76310.0,0.038536995887756345,76310.0,0.041087873458862306
67,40468.0,0.017096808433532715,81070.0,0.03908917045593262,81070.0,0.0414424409866333
69,42918.0,0.017336542129516602,85974.0,0.038972753524780274,85974.0,0.0422068977355957
71,45440.0,0.017482093811035156,91022.0,0.03989319133758545,91022.0,0.04226857566833496
73,48034.0,0.01717500591278076,96214.0,0.039859567642211914,96214.0,0.042631471633911136
75,50700.0,0.017163348197937012,101550.0,0.03902800178527832,101550.0,0.04171278572082519
77,53438.0,0.016169109344482423,107030.0,0.037549360275268555,107030.0,0.040422905921936036
79,56248.0,0.016321085929870607,112654.0,0.03768524169921875,112654.0,0.040344919204711914
